"country code",Country,World region,Survey,Year,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
RWA,Rwanda,Sub-Saharan Africa,DHS,2020,0.0061551992,1.6780276462,36.6811550294,1.6624929012,0,173.124,178.583,179.237,56.9137182541,102.0104446411,1.7117635012,66.1966323853,12.3382754624,21.4650914073,66.1966323247,,12.3382756061,0,3.0772629748,3.5975233157,0.9104671449,3.368231158,6.812645155,3.6989623208
LCA,Saint Lucia,Latin America and the Caribbean,MICS,2012,0.0222475408,5.7065901708,38.9856991794,12.9151663527,0.4965679916,214.929,211.905,214.929,77.9053755182,167.4412384033,9.555185318,34.5411449671,31.3220739365,34.1367840767,26.6500870665,7.8910565592,0.0761592087,31.2459135609,11.336924894,4.0470651871,1.0987807651,1.1447774955,11.8304738491,4.678761414
WSM,Samoa,East Asia and the Pacific,MICS,2020,0.0492973558,11.9668678702,41.1948693244,16.2227942383,2.2795045714,214.599,214.599,218.641,58.6228080581,128.1734924316,15.3383522034,21.1781546474,34.5382630825,44.28358078,17.7418965657,3.4362580057,22.9288638712,11.6094000931,10.8832177779,12.482990964,4.2168531097,8.1042342604,0.3697751454,8.226510207
STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2019,0.2856421188,54.5102881994,52.4015058936,18.2529178493,31.4080666461,16000.781,16000.781,16436.12,73.2701324657,12042.7666015625,6564.546875,20.8309665322,47.9816824198,31.1873525381,17.1378620769,3.6931041775,20.3800739217,27.6016081867,9.8137185678,6.1341593043,3.4278140444,5.6872493214,4.9840116013,1.140398798
SEN,Senegal,Sub-Saharan Africa,DHS,2019,0.0003286935,0.0844944456,38.9011943472,1.9920777069,0,7401.056,7401.056,7358.005,74.7690669695,5501.51171875,4.6484718323,42.8435862064,42.8435862064,14.3128275871,9.1702090201,33.6733770094,9.1702090201,33.6733770094,11.256091601,0,3.05673634,0,0,0
SRB,Serbia,Europe and Central Asia,MICS,2019,0.0035987766,1.0658600335,33.764063548,0.7066602642,0,104.373,104.373,105.53,39.2389744259,41.4088897705,0.4413608015,65.5016541481,33.2226395607,1.2757061049,32.7508269139,32.7508269139,33.2226400829,,,0,0,0,0,1.2757060894
SYC,Seychelles,Sub-Saharan Africa,QLFS,2019,0.3081284959,61.5658568446,50.0486002678,19.9299005977,30.132077414,8046.828,8046.828,8233.97,74.1316993257,6103.9819335938,3757.96875,23.1665045023,24.1045668721,52.7289271355,17.4517143808,5.7147896628,15.1039156076,9.0006509419,11.0715297861,10.2233017335,6.8561209799,10.443517939,7.7233223918,6.4111365767
SLE,Sierra Leone,Sub-Saharan Africa,DHS,2019,0.020751221,5.1227346713,40.5080924232,11.1894967417,1.0712022284,56422.274,58087.055,58801.927,48.0806443733,28272.345703125,1448.3172607422,38.9470279217,16.6865751147,44.3663954735,32.9504124959,5.9966143345,13.1622005497,3.5243755224,9.28912769,6.0785984745,7.3235488367,7.3056600488,8.5137260487,5.8557359989
ZAF,South Africa,Sub-Saharan Africa,DHS,2016,0.5585997243,89.7805023424,62.2183781235,7.8781342056,70.1664964264,9714.419,10447.666,10606.227,60.1980431843,6384.7412109375,5732.2529296875,15.0187253952,38.1560862064,46.8251913786,11.0439144626,3.9748107975,17.9694521454,20.1866328826,8.8855220852,8.3601387667,6.088577446,8.6519940242,8.8025285218,6.0364288681
SSD,South Sudan,Sub-Saharan Africa,MICS,2010,0.0104740396,2.7216942111,38.4835283454,14.162910298,0.2666011896,21425.494,21649.664,21715.079,79.8671430877,17343.212890625,472.0292358398,35.46230793,22.3383799195,42.1993106604,32.8492882263,2.6130190794,11.7732120203,10.5651677098,13.4769987983,6.6580445942,6.3580702855,3.5360157035,7.1789403858,4.9912431968
LKA,Sri Lanka,South Asia,SLDHS,2016,0.2775225345,51.7717236579,53.6050405246,17.8709596577,30.7474438855,37003.245,43232.093,44440.486,88.7675241175,39448.71875,20423.28125,21.8885555863,28.836491704,49.2749512196,18.3917700974,3.4967853693,15.8945578254,12.9419332856,8.6258174569,9.104148749,7.1014358701,8.4210482497,10.2621312999,5.7603717969
SDN,Sudan,Arab States,MICS,2014,0.0055329086,1.4472371637,38.2308354634,3.3937655892,0.1604865939,593.715,600.301,607.065,58.4707475766,354.9554443359,5.1370472908,26.8404841423,43.6505287886,29.5089900494,21.8574854884,4.9829979512,24.4137679241,19.2367602662,6.5268227761,6.8768735574,1.3633678542,3.8907013939,5.735433327,5.1157894615
SUR,Suriname,Latin America and the Caribbean,MICS,2018,0.0301710638,7.7291937743,39.0352017543,20.8454094498,0.8233012261,8925.525,9337.003,9543.207,83.0585321493,7926.4477539063,612.6505126953,48.3088463545,25.5574345589,26.1337190866,35.9373413029,12.3715043253,0.5615892495,24.9958464346,6.7050716083,0.6820607304,7.1740492825,0.2171667505,10.9120218877,0.4433484283
TJK,Tajikistan,Europe and Central Asia,DHS,2017,0.2766967005,55.5886255462,49.7757765623,24.117388167,26.1079869267,54401.802,59872.579,61704.518,79.3348495433,48953.1875,27212.404296875,23.5768407583,21.7426136136,54.680544138,19.943218019,3.6336231528,6.3363253826,15.4062880208,11.1180172699,10.4867501506,8.5741593318,10.8346270438,9.2727356199,4.3942560089
TZA,Tanzania,Sub-Saharan Africa,DHS,2016,0.0017831903,0.4892576317,36.4468578987,6.1416181753,0.0250222381,71307.763,71307.763,71475.664,62.3015210937,44530.42578125,217.8684997559,38.0088806152,43.7849938869,18.2061254978,26.1075004888,11.901379086,32.6101112958,11.1748828785,6.989786655,2.4683567078,0.7705066675,0.884684964,3.357112241,3.7356790157
THA,Thailand,East Asia and the Pacific,MICS,2019,0.2223447436,48.2920556477,46.0416813028,26.8229127819,17.6444163667,1224.562,1280.438,1299.995,87.2388141241,1134.1002197266,547.6802978516,29.7840148211,23.0211660266,47.1948206425,26.9239071289,2.8601072313,11.4337908664,11.5873753217,11.7255317226,8.0424629677,4.8022947477,4.8650359549,10.4542201923,7.3052738666
TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,0.1833586095,38.008094851,48.2419890369,23.7123768798,15.7355858811,7852.795,8243.094,8442.58,78.5801487327,6634.1918945313,2521.5300292969,22.5197449327,27.6696532965,49.8106002808,17.7241356599,4.7956092661,16.550229312,11.1194241988,11.4714731673,11.0110484685,7.16774838,9.1443261218,7.7570171346,3.2589882909
TGO,Togo,Sub-Saharan Africa,MICS,2017,0.0040820533,1.0657494899,38.3021842639,6.2457950416,0.0309045264,104.951,104.951,105.254,79.4618811353,83.6368103027,0.8913588524,39.3011420965,40.438196063,20.2606633306,15.62763933,23.6735032386,6.7433800935,33.694814384,3.9182481276,2.1908521907,0.9138727698,0.9814330775,11.5992261651,0.6570306232
TON,Tonga,East Asia and the Pacific,MICS,2019,0.0022728264,0.582195441,39.0388911112,3.4516343117,0.1379652123,1420.02,1519.955,1518.147,68.1942566368,1035.2890625,6.0274057388,46.4951038361,32.5003057718,21.0045903921,18.3304003209,28.1647020287,22.2810495779,10.2192576476,0.3755740263,0.8007518504,2.8452395194,5.5021789331,6.5499015525,4.9309445432
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,0.0026340912,0.7167341885,36.7512979878,2.0885377355,0.066058399,11933.041,12049.314,12161.723,89.1450059296,10841.568359375,77.7052307129,26.7368733883,62.0775580406,11.185567081,23.5107323705,3.2261416851,38.669988467,23.4075704334,0.4482309228,3.9228951954,3.6788331005,0.2909116808,1.0357154355,1.8089807091
TUN,Tunisia,Arab States,MICS,2018,0.0009949948,0.2916858408,34.1118658417,0.3907983349,0,6158.42,6158.42,6250.438,78.4730195399,4904.9072265625,14.3069200516,80.8635830879,16.8541267514,2.2822923958,47.0253004132,33.8382800092,0,16.8541272165,,0,0,0,2.2822923612,0
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,0.0083988948,2.1873682951,38.3972593475,13.1371314404,0,11.069,10.956,11.069,83.8093018526,9.2768516541,0.2029189169,39.3083304167,43.4058755636,17.2857955098,30.3456931759,8.9626365224,0,43.4058757054,2.7316973381,4.1399980688,0,0,9.7311748548,0.6829243345
TUV,Tuvalu,East Asia and the Pacific,MICS,2020,0.2742255046,56.3895589799,48.6305460758,24.4339074823,24.3439478909,38748.299,42949.08,44404.611,70.6005746298,31349.91015625,17678.076171875,25.713545084,20.0553163886,54.2311370373,22.2594400395,3.4541049735,11.7313979346,8.3239180983,11.3490747313,10.0470503239,8.5467494013,9.873179114,9.986122958,4.4289624256
UGA,Uganda,Sub-Saharan Africa,DHS,2016,0.0005631103,0.1614892727,34.8698257225,0.202320392,0,45406.226,44211.094,43909.666,57.1439465411,25091.716796875,40.5204315186,86.7072761059,4.4431790709,8.8495463133,,86.7072751851,4.4431790571,0,5.072070753,0.8153556333,1.4810596857,0,0,1.4810596857
UKR,Ukraine,Europe and Central Asia,MICS,2012,0.0084218944,2.0725854464,40.6347272767,3.2344702656,0.3982395121,97468.029,95776.716,96648.685,74.5652868644,72066.3671875,1493.6370849609,26.7260313034,38.0384713411,35.2354973555,,26.7260309248,25.6486798697,12.3897920907,10.2802899281,8.8710384192,3.2631905015,0.7783848879,8.4609631865,3.5816301916
VNM,Viet Nam,East Asia and the Pacific,MICS,2021,0.2472836993,48.7920302222,50.6811661941,22.3000056882,24.6596313696,26984.002,31546.691,32284.046,94.4666333266,30497.650390625,14880.4228515625,29.1829496622,30.167979002,40.6490713358,25.9391309901,3.2438187348,11.339760445,18.8282178606,6.7165525079,8.4053962171,6.7924534577,4.4935554244,10.3912686508,3.8498457115
YEM,Yemen,Arab States,DHS,2013,0.2261485951,47.062358978,48.0529663266,23.9335568966,20.0520353966,17835.893,18380.477,18927.715,77.1188977711,14596.8447265625,6869.6196289063,22.7908968925,24.3839472532,52.825152874,19.7403287527,3.050568495,7.6192711099,16.7646763952,11.4790370591,8.8738955947,7.012013393,10.7579489983,9.7057952399,4.9964649622
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,0.1000115336,23.8373572935,41.955797523,26.4363426498,5.5934503061,15354.608,15354.608,15669.666,64.5032888387,10107.4501953125,2409.3491210938,25.7095217705,15.4912352562,58.7992370129,20.5649627664,5.1445604583,3.5068500616,11.9843849288,12.8947470165,10.8704529689,10.1595432957,9.4959974214,8.7270302452,6.6514708373
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,,,,,,,,,,,,,,,,,,,,,,,,
