"country code",Country,World region,Survey ,Year,"Multidimensional Poverty Index","Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor(A)",Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
HTI,Haiti,Latin America and the Caribbean,DHS,2017,0.1888049997,39.6525394293,47.6148570599,22.1007583876,16.7188402176,10863.543,11160.438,11306.801,44.5617331916,5038.5063476563,1997.8957519531,18.8979163766,24.5258167386,56.576269865,15.7107988952,3.1871181054,18.9797133974,5.5461033594,11.6130854005,10.2191599163,7.7654010832,10.0865824525,7.780440555,9.1115968349
HND,Honduras,Latin America and the Caribbean,MICS,2019,0.0408123906,9.8464675976,41.4487634566,13.2821900523,2.1691063979,9958.829,9958.829,10121.763,31.1316227822,3151.0690917969,310.2689819336,17.7679464221,40.4664158821,41.7656391859,15.3720587805,2.3958877751,20.6345571532,19.8318572834,12.3840232085,6.7051916382,1.8325612603,4.5554867128,9.784164636,6.504211552
IND,India,South Asia,DHS,2021,0.084316339,19.6505338859,42.9079125935,19.0223517796,5.6383051113,1407563.842,1383112.05,1396387.127,14.1052229955,196963.515625,38704.3828125,28.476023674,31.9943845272,39.529594779,25.4200178601,3.0560057387,23.364483729,8.6299011191,10.5394626925,8.8695189558,1.6260494015,1.7111669896,10.6163523,6.1670412137
IDN,Indonesia,East Asia and the Pacific,DHS,2017,0.0231452489,6.1262994814,37.7801460472,7.8021327217,0.4759027463,264498.852,269582.878,271857.97,10.8820343478,29583.677734375,1812.3846435547,20.3033730388,34.8242163658,44.8724091053,,20.303373317,29.4219128131,5.4023036265,10.9712274483,9.3580097101,5.1870209964,2.8780034372,6.1131931825,10.364955469
IRQ,Iraq,Arab States,MICS,2018,0.0315483218,8.8026665606,35.8395056499,3.4688229882,0.7804775955,40590.7,41563.52,42556.984,7.2013065304,3064.6589355469,269.771697998,30.4317176342,65.9638524055,3.6044307053,24.5881657476,5.8435534037,31.5846250547,34.3792250299,0,1.8224325791,0.3021965881,0.1221120543,0.9093339671,0.4483555755
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,0.0118514491,2.9841526139,39.7146211462,5.6101785198,0.3745054557,2811.835,2813.773,2820.436,48.6409470994,1371.8868408203,40.9391975403,54.8879683018,19.0558552742,26.0561734438,54.8879693141,,5.8932228084,13.1626322984,5.5416480517,6.5765464774,5.0151365746,0.6576615633,6.7106453622,1.5545375499
JOR,Jordan,Arab States,DHS,2018,0.0035676365,1.0487794945,34.0170309457,1.615646235,0,10459.865,10698.683,10928.721,8.4519980755,923.6953125,9.6875267029,15.5495747924,77.35902071,7.0914037526,14.1023427576,1.4472321225,32.6526589921,44.7063620032,1.2397255542,1.0344202941,1.6938451859,0,1.6938451859,1.4295679045
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,0.0014066694,0.417752301,33.6723322199,1.3100568786,0,17835.909,18754.258,18979.243,29.2025071623,5542.4150390625,23.1535663605,98.993241787,0,1.0067579336,49.4966210176,49.4966210176,0,0,0,0,0,0,1.0067579649,0
KEN,Kenya,Sub-Saharan Africa,DHS,2014,0.2036976936,43.9175886992,46.3818027509,34.8187533444,16.9006214634,45831.863,50951.45,51985.78,30.4690139732,15839.5546875,6956.3505859375,19.7254702449,17.562790215,62.7117395401,16.9064643649,2.8190060164,12.404061701,5.158727975,11.7829164101,10.7371632444,8.7927433306,11.3318418981,11.9556679246,8.111407135
KIR,Kiribati,East Asia and the Pacific,MICS,2019,0.0605177521,15.2752996305,39.618045852,25.0904649158,2.3463868755,124.241,124.241,126.463,25.6955560465,32.4953727722,4.9637656212,30.1360785961,11.7626897991,58.1012308598,22.3417659853,7.7943131617,1.0041144354,10.7585756498,9.6568032865,11.7219221677,5.3173258748,10.2275923939,13.2900940203,7.8874930244
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,0.0004640991,0.1193397715,38.8888888889,4.9396798307,0,6223.494,6323.643,6424.874,22.2702237586,1430.8338623047,1.7075538635,57.4243962765,28.2898902893,14.2857134342,42.8571428571,14.5672533192,0,28.2898895379,9.4299631793,4.8557511064,0,0,0,0
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,0.0751615853,16.927438113,44.4022213144,21.9869408248,5.5881372942,6997.917,7212.053,7319.399,11.0073189233,805.6696166992,136.3792266846,18.1547820568,42.5385504961,39.3066674471,16.020568848,2.1342136353,28.7615192965,13.7770320898,12.4169453916,8.9824289041,5.0981957219,2.4749221833,5.6850697996,4.6491041298
LSO,Lesotho,Sub-Saharan Africa,MICS,2018,0.0831704064,19.5839360398,42.4686877114,31.1969480559,4.5035886796,2198.017,2225.702,2254.1,39.6187532401,893.0463256836,174.8936157227,21.6001480818,17.6295742393,60.7702732086,19.3197157211,2.2804321396,10.8862196274,6.7433546669,,11.5396942051,9.3024430028,14.7970926455,12.254340404,12.8767075875
LBR,Liberia,Sub-Saharan Africa,DHS,2020,0.2899034793,58.2240007335,49.7910613557,22.2001495823,27.427908312,5087.584,4985.289,5087.584,33.9629308457,1727.892578125,1006.0482177734,18.9610019326,29.9478083849,51.0911941528,15.590461396,3.3705410023,17.7515341575,12.1962733773,10.9984263685,10.0688286811,4.6990631673,9.9148476446,7.2323760107,8.1776481947
LBY,Libya,Arab States,PAPFAM,2014,0.0030806467,0.8329178304,36.9862023143,6.9537926035,0,6097.764,6569.088,6653.942,9.7624129044,649.5852661133,5.4105114937,9.065426141,62.2653663158,28.6692082882,6.7626369502,2.3027889726,41.6192936524,20.6460733902,0.7730500256,4.3830932816,6.7017854822,1.4766527164,10.9429608679,4.3916646609
MDG,Madagascar,Sub-Saharan Africa,MICS,2018,0.3779639163,68.0834450628,55.5148047961,15.2971891116,47.3307287715,26846.541,27533.134,28225.177,18.0341917608,5090.1826171875,3465.5717773438,12.6896813512,34.1551035643,53.1552195549,10.6824564164,2.0072247722,22.4325674557,11.7225369128,9.9809121626,9.9580796877,7.3640853832,8.5737929065,8.8390575449,8.4392867579
MWI,Malawi,Sub-Saharan Africa,MICS,2020,0.2853720676,59.4048836244,48.038486088,25.9689601179,23.6331842934,19377.061,18867.337,19377.061,29.2597253311,5669.6748046875,3368.0637207031,15.7928571105,27.8441488743,56.3629925251,13.7813105331,2.011546385,22.4778136139,5.3663367951,11.5022743497,8.0335062763,5.0502849682,11.0151213466,10.5189273159,10.2428784161
MDV,Maldives,South Asia,DHS,2017,0.0032331477,0.9393684823,34.4183112755,5.404280118,0,472.442,504.508,514.438,44.1273191864,227.0077056885,2.1324388981,85.0133240223,11.8343494833,3.152327612,48.4238361762,36.589486696,1.6794870962,10.154862384,0.739035518,0,0.6546235775,0,1.7586685522,0
MLI,Mali,Sub-Saharan Africa,DHS,2018,0.3786494435,69.6922595237,54.331635405,15.0086956151,42.5704046996,19934.298,20567.424,21224.04,13.5944188106,2885.2849121094,2010.8201904297,16.3726016879,41.1014586687,42.5259411335,12.2776161529,4.0949856075,22.028716031,19.072742839,10.148234747,7.8600188805,5.1504539561,7.1674604797,8.5688855474,3.630885759
MRT,Mauritania,Sub-Saharan Africa,DHS,2021,0.3298243635,58.5014564019,56.3788294861,13.0690043847,37.8759883095,4614.974,4383.849,4498.604,35.9922011674,1619.1466064453,947.2243652344,16.548293829,43.0369317532,40.4147744179,14.2954528361,2.2528404269,22.1679549819,20.8689760475,7.7369224589,7.4492959649,5.0681039199,7.8415527012,7.8776924086,4.4412082541
MEX,Mexico,Latin America and the Caribbean,ENSANUT,2020,0.026376939,7.0554120728,37.3853982738,3.0230792815,0.6816970775,125998.302,125085.311,125998.302,28.6344457595,36078.9140625,2545.5161132813,74.6009886265,10.6155224144,14.7834911942,74.6009863411,,4.5465608476,6.0689619669,4.1627888292,2.3330587956,0.636681139,0.3203301355,5.4447568667,1.8858750785
MDA,Moldova,Europe and Central Asia,MICS,2012,0.0076561164,2.0162211646,37.9726019218,6.1805759325,0.1565898938,3507.191,3109.491,3084.847,28.621877949,882.9411621094,17.8020458221,8.5753768682,44.1644191742,47.2602039576,8.5753770416,0,36.8905278626,7.2738924588,8.3746021684,11.8362199039,7.7036665509,1.0834351872,7.6998743217,10.5624045049
MNG,Mongolia,East Asia and the Pacific,MICS,2018,0.0229862861,6.1069401665,37.6396124697,11.8653314835,0.422905652,3163.991,3232.43,3294.335,17.2043171542,566.7678222656,34.6121711731,16.7898744345,31.0976475477,52.1124780178,13.2149307391,3.5749434805,27.8264358545,3.2712122393,13.8511313631,13.3452138449,8.1552411523,1.1898841958,12.850294776,2.7207123544
MNE,Montenegro,Europe and Central Asia,MICS,2018,0.0031641854,0.7198814433,43.9542570039,6.5850829851,0.2504785274,631.455,630.396,629.048,17.1054766293,107.6016616821,0.7746043801,19.7170779109,51.1116266251,29.1712939739,0,19.7170781952,37.9182081617,13.1934182087,6.0670433222,12.0521451486,0.5872575719,0,6.0670433222,4.3978060696
MAR,Morocco,Arab States,PAPFAM,2018,0.0130132689,3.2923185396,39.5261537695,10.5961417458,0.5248004759,35927.511,36304.408,36688.772,11.2284515531,4119.5810546875,135.6297302246,10.0049890578,50.4446923733,39.550319314,10.0049892359,0,37.663388308,12.7813021484,4.5927201528,7.2662359202,8.179863765,3.3437092736,10.2021206587,5.9656705374
MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,0.4118347953,72.9388359395,56.4630337215,12.7297036591,50.4496283621,23760.421,30285.595,31178.239,30.752473844,9588.080078125,6993.4340820313,16.1595746875,32.2883307934,51.552093029,13.4760721261,2.6835027484,20.9905432968,11.2977879495,9.8132893495,8.7294845727,7.3370263307,9.1114493362,9.2346272438,7.3262170462
MMR,Myanmar,East Asia and the Pacific,DHS,2016,0.1649854064,36.40825704,45.3153816814,19.7902350149,12.5568403453,51892.349,53040.212,53423.198,19.090891465,10198.96484375,3713.2653808594,17.1504586935,32.9363524914,49.9131888151,15.8162019734,1.3342571927,26.1211003474,6.8152513902,11.8456338556,8.588946819,3.7959925693,8.4517757794,11.161566174,6.069273899
NAM,Namibia,Sub-Saharan Africa,DHS,2013,0.2029861976,45.4605323899,44.6510823581,19.5546285922,14.2923880594,2204.51,2446.644,2489.098,47.2204257869,1175.3626708984,534.3261108398,32.3637247086,11.7496579885,55.8866202831,29.0169777456,3.3467460249,5.040382035,6.7092758615,11.7954168822,11.063908144,6.6557554239,11.2380452511,9.6489236133,5.4845690186
NPL,Nepal,South Asia,MICS,2019,0.0719424927,16.7516980843,42.9463880748,15.5735544974,4.940544776,28832.496,28832.496,29348.627,22.630320331,6641.6884765625,1112.5955810547,21.1475610733,36.1745625734,42.6778793335,19.6864181235,1.4611424117,30.1309340641,6.043628237,11.663877404,4.7587382873,2.2711372128,3.2164016861,11.7462618308,9.0214607427
NIC,Nicaragua,Latin America and the Caribbean,DHS,2012,0.0454798829,10.3294110569,44.0295024555,10.8521722858,3.3270152942,6030.607,6663.924,6755.895,35.1232107217,2372.8872070313,245.1052703857,12.2029468417,35.3419482708,52.4551033974,10.5792979572,1.6236486666,28.3263252409,7.015621429,12.3384143408,4.758926468,9.4171117347,7.52963231,10.3518617282,8.0591601246
NER,Niger,Sub-Saharan Africa,DHS,2012,0.5967714929,91.5722714803,65.1694539447,3.89290205,76.2636106341,17954.407,23443.393,24333.639,13.2799708448,3231.5002441406,2959.158203125,19.6447819471,35.6274217367,44.7277963161,14.471499098,5.1732830672,21.9886285835,13.6387943033,8.4357135241,8.1364740997,5.568811621,8.0021435921,8.4045200658,6.1801320452
NGA,Nigeria,Sub-Saharan Africa,DHS,2018,0.1541702641,32.3221787493,47.697980166,21.7529768844,12.3020023412,198387.623,203304.492,208327.405,12.7549845956,26572.12890625,8588.69140625,27.8012007475,24.8730704188,47.3257273436,21.0385696081,6.7626321124,14.7631460256,10.1099237762,10.978500507,9.7747691623,6.1423265905,7.500578157,6.3955271926,6.5340268684
MKD,North Macedonia,Europe and Central Asia,MICS,2019,0.0015455163,0.428319299,36.0832742768,3.6524270773,0,2114.176,2114.176,2111.072,18.3600411606,387.5936889648,1.660138607,34.5453947783,51.1081874371,14.3464177847,17.2726979419,17.2726979419,28.9167540985,22.1914328057,9.6389180328,2.2417737643,0,0.2239516506,0,2.2417737643
PAK,Pakistan,South Asia,DHS,2018,0.1763824954,35.8287072195,49.2293775367,16.352356062,18.0495592893,219731.479,223293.28,227196.741,9.7851348946,22231.5078125,7965.26171875,23.1482222676,42.0474141836,34.8043620586,17.7870571699,5.3611646503,25.7940749101,16.2533409789,10.1818220633,7.7265222667,1.5650447403,1.4733238964,8.5280969575,5.3295523667
